,radiation_surface
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,183.3988231
9,1307.699935
10,2598.239971
11,4210.229248
12,4799.874203
13,4869.362151
14,3113.615343
15,897.173469
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,666.1896695
33,3830.783407
34,7022.370244
35,8441.783045
36,8391.074581
37,6837.814574
38,4142.630818
39,1052.769401
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,598.9768544
57,3242.2953
58,6032.494763
59,7762.058264
60,6994.374545
61,5466.449488
62,3411.387781
63,979.8494734
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,758.698874
81,3447.25004
82,5486.732874
83,7022.640175
84,7078.901504
85,5948.469103
86,4531.254312
87,1297.326873
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,527.2523357
105,2707.33065
106,5318.141693
107,6856.208442
108,7018.668333
109,5897.567832
110,3612.023625
111,939.244141
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,400.654704
129,2051.128427
130,3027.738729
131,2950.11429
132,3720.381635
133,3422.994813
134,2299.233564
135,602.7558882
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,249.2234217
153,1490.597457
154,2808.169154
155,3564.631457
156,4411.829132
157,3840.115307
158,2961.567076
159,705.6767164
160,0.038561569
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,403.8938758
177,2063.159637
178,5784.466749
179,8809.506168
180,9458.728747
181,8078.378816
182,5087.929125
183,1444.979121
184,0.231369415
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,691.7174283
201,4169.46967
202,7610.665544
203,9364.407149
204,9313.428755
205,7676.721512
206,4831.918867
207,1404.450912
208,0.539861969
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,575.5314203
225,2272.12478
226,3319.534123
227,3364.805405
228,2774.89052
229,1999.533048
230,1338.086451
231,405.0507229
232,0.077123138
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,474.6157937
249,1968.683792
250,3405.025122
251,4587.631326
252,5460.279637
253,5123.984192
254,2945.718271
255,785.6148493
256,1.156847076
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,134.5413149
273,595.6219979
274,1424.965667
275,3960.813019
276,4292.056898
277,2678.255227
278,1393.576549
279,514.1799637
280,1.195408645
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,450.8233055
297,1658.070352
298,3582.254094
299,5566.940938
300,6357.954407
301,4574.134777
302,2112.518445
303,583.2822957
304,2.043763168
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,480.9784526
321,1969.840639
322,3363.378627
323,4931.870454
324,6813.289416
325,6008.58659
326,3045.978351
327,929.1795714
328,4.704511442
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,309.1866618
345,1458.552793
346,2690.672052
347,3976.430454
348,4851.585267
349,3919.822071
350,2456.680451
351,718.2092263
352,2.776432982
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,619.5687323
369,1713.05915
370,3336.578337
371,5443.042616
372,6601.81777
373,4143.517734
374,3324.431442
375,1069.659368
376,11.1442935
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,1481.111311
