,0
0,44.19571464
1,152.88392195999998
2,100.65262283999999
3,109.4502024
4,87.69870648
5,33.04287756
6,36.64503612
7,144.50197608
8,169.43999687999997
9,27.91672884
10,47.72860092
11,25.49219904
12,47.93641776000001
13,55.833457679999995
14,35.328862799999996
15,50.36094755999999
16,210.51845892
17,29.64853584
18,29.50999128
19,193.20038892
20,56.38763592
21,74.25988415999998
22,214.0513452
23,32.5579716
24,58.05017063999999
25,34.91322912
26,89.98469172
27,251.52764867999997
28,31.380342839999997
29,110.07365292
30,60.9596064
31,70.86554243999998
32,179.27666063999996
33,211.69608767999998
34,51.95420999999999
35,26.3234664
36,70.79627015999999
37,143.87852555999999
38,22.44421872
39,173.31924456000002
40,95.11084043999999
41,282.63090239999997
42,68.09465124
43,209.20228559999998
44,276.81203087999995
45,263.23466399999995
46,98.64372672
47,180.86992308
48,52.16202684
49,139.99927788000002
50,247.78694556000002
51,284.50125396
52,261.2257678799999
53,241.55244035999996
54,299.87970011999994
55,368.5285296
56,367.90507907999995
57,282.90799151999994
58,80.07875567999999
59,74.19061187999999
60,249.65729711999992
61,48.28277915999999
62,216.8222364
63,173.73487824000003
64,143.60143643999996
65,187.79715108000002
66,119.07904931999997
67,243.28424736000002
68,244.73896523999997
69,392.91237215999996
70,54.17092295999999
71,311.86380456
72,205.7386716
73,215.64460764
74,139.99927788
75,239.88990564
76,109.03456872
77,174.35832875999998
78,211.07263715999997
79,309.57781932
80,236.07993023999998
81,222.29474651999996
82,452.14017156
83,461.2841125199999
84,370.60669799999994
85,446.3905723199999
86,430.73503703999995
87,426.71724480000006
88,409.9533530399999
89,181.21628447999996
90,448.05310703999993
91,146.78796132
92,219.17749392000002
93,106.19440523999998
94,197.77235939999997
95,349.61719715999993
96,318.23685432
97,178.86102695999998
98,189.59823036
99,505.96473312
100,514.346679
101,479.50272215999996
102,412.6549719599999
103,295.72336332
104,435.44555207999986
105,190.36022544
106,362.43256895999997
107,263.58102539999993
108,461.8382907599999
109,507.7658123999999
110,520.9275456
111,433.9908342
112,409.81480848000007
113,258.1085152799999
114,316.36650276
115,302.7198636
116,287.06432832
117,406.76682816
118,507.90435696
119,486.36067788
120,297.5244426
121,388.75603536
122,295.2384573599999
123,345.0452266799999
124,449.78491403999993
125,377.533926
126,344.49104843999993
127,249.86511396
128,204.14540915999999
129,314.08051751999994
130,418.19675436
131,545.5192049999999
132,538.1763433199999
133,538.2456156
134,539.49251664
135,513.09977796
136,201.37451795999996
137,233.72467272
138,271.27024847999996
139,416.32640279999987
140,546.76610604
141,394.85199599999993
142,479.9876281199999
143,445.28221583999994
144,447.01402283999994
145,268.15299588
146,469.94314752
147,433.2288391199999
148,263.02684716
149,414.0404175599999
150,425.26252691999997
151,378.57301019999994
152,338.67217692000014
153,443.48113656
154,353.49644484
155,387.37058975999986
156,479.57199443999997
157,186.27316091999998
158,337.28673131999994
159,355.36679639999994
160,131.40951515999998
161,138.54456
162,159.81114996000002
163,224.30364264000002
164,407.59809551999996
165,366.17327208
166,459.2059441199999
167,511.50651552
168,252.91309428
169,248.41039607999997
170,482.89706387999985
171,540.73941768
172,526.05369432
173,273.07132776
174,179.62302204
175,276.46566948000003
176,432.67466087999986
177,536.09817492
178,518.3644712399998
179,525.4302438000001
180,533.7429174
181,535.61326896
182,547.7359179599999
183,544.2723039599999
184,504.0251092799999
185,506.10327768
186,334.03093415999996
187,318.58321572
188,393.6050949600001
189,415.63367999999997
190,352.04172695999995
191,477.49382604
192,435.09919067999994
193,462.7388304
194,391.2498374399999
195,540.1852394399999
196,520.9968178799999
197,270.7853425199999
198,409.8148084799999
199,222.43329108000003
200,453.24852804
201,432.05121035999997
202,505.75691628
203,518.98792176
204,463.63937003999996
205,460.93775112
206,285.95597183999996
207,193.13111663999996
208,378.64228248000006
209,456.36578063999997
210,265.3128324
211,458.9288549999998
212,475.83129131999993
213,493.14936131999997
214,230.05324187999994
215,218.83113252
216,473.33748923999997
217,355.8517023599999
218,458.79031044
219,415.42586316
220,406.6282835999999
221,410.9231649599999
222,476.87037552000004
223,378.71155475999996
224,473.06040012
225,196.73327519999998
226,492.8722721999999
227,131.75587656
228,473.26821695999996
229,462.87737496000005
230,409.26063024
231,496.47443075999996
232,410.0226253199999
233,431.5663043999999
234,482.06579651999994
235,474.1687565999999
236,431.98193807999996
237,469.38896928
238,329.73605280000004
239,360.77003424
240,430.1808588
241,413.3476947600001
242,290.73575916000004
243,461.21484024
244,364.58000964
245,355.99024692
246,458.23613220000004
