,radiation_surface
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,83.76563365632
9,597.2792616806399
10,1186.7209062508798
11,1922.98137381504
12,2192.29598782656
13,2224.033933968
14,1422.11360890368
15,409.77528020351997
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,304.27567011072
33,1749.6731662502402
34,3207.39949829376
35,3855.70252799424
36,3832.5419291174403
37,3123.10548595584
38,1892.10644618688
39,480.84221287872
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,273.57686870976
57,1480.88693092032
58,2755.28347307136
59,3545.2448273088
60,3194.61273419904
61,2496.74778416448
62,1558.1182815475202
63,447.5367433152
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,346.52835201600004
81,1574.49802067712
82,2506.0120237152
83,3207.5227866528
84,3233.2196032012803
85,2716.9055681644795
86,2069.60645795904
87,592.5414661689599
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,240.81739045056
105,1236.54701592576
106,2429.0096371833597
107,3131.50670699328
108,3205.70868651264
109,2693.6569061740797
110,1649.75675755968
111,428.99065159104
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,182.9951500608
129,936.83301509952
130,1382.89029810624
131,1347.4360885708797
132,1699.2482274028798
133,1563.41968098624
134,1050.15262968
135,275.30290573632
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,113.83038063935999
153,680.8159312416
154,1282.60402433856
155,1628.1108442368
156,2015.0601653951999
157,1753.93542094848
158,1352.66703751872
159,322.31099577599997
160,0.01761262272
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,184.47461036928001
177,942.32815338816
178,2641.99908373632
179,4023.65649825216
180,4320.18261436608
181,3689.72117148096
182,2323.8622795449596
183,659.9801985638401
184,0.10567573632
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,315.93522635136
201,1904.3648316
202,3476.09767051008
203,4277.10213919296
204,4253.818251957119
205,3506.2680932294397
206,2206.93207730688
207,641.46933208512
208,0.24657671807999995
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,262.86839409600003
225,1037.7709559078398
226,1516.16501422848
227,1536.84223330176
228,1267.4043309311999
229,913.26732590016
230,611.158008384
231,185.00298905088002
232,0.03522524544
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,216.77616043775998
249,899.1772277241602
250,1555.21219879872
251,2095.35611237568
252,2493.92976452928
253,2340.33008178816
254,1345.4282495808
255,358.82196267456004
256,0.5283786816
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,61.45044067008
273,272.04457053312
274,650.8392473721601
275,1809.0629300620799
276,1960.35535922688
277,1223.26709839488
278,636.5025724780801
279,234.84671134848003
280,0.54599130432
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,205.90917221952
297,757.3075517145601
298,1636.15981281984
299,2542.6462789728002
300,2903.9340088281597
301,2089.19169442368
302,964.87231046976
303,266.40853126272
304,0.93346900416
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,219.68224318656
321,899.7056064057599
322,1536.19056626112
323,2252.58399539712
324,3111.9038579059197
325,2744.36364698496
326,1391.2210686527999
327,424.39375706111997
328,2.14873997184
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,141.21800896896
345,666.1798417612799
346,1228.9383629107203
347,1816.19604226368
348,2215.91451489408
349,1790.3407121107202
350,1122.06496824576
351,328.03509815999996
352,1.2681088358400003
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,282.98200924224
369,782.4231517132799
370,1523.9497934707201
371,2486.0569221734404
372,3015.3162349094396
373,1892.5115365094402
374,1518.4018173139198
375,488.55654163008
376,5.090047966079999
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,676.48322605248
393,2538.8243398425598
394,4022.3003263027194
395,4821.208892881919
396,4790.8975691808
397,4133.3302999296
398,2735.96242594752
399,977.9408765279999
400,11.060727068159999
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.05283786816
416,213.51782523456
417,671.79826840896
418,1103.9415794668798
419,1454.6617356902402
420,1616.85637831872
421,1505.0514492921598
422,1008.5868400608
423,427.2822271872001
424,8.64779775552
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.03522524544
440,165.43536520895998
441,677.62804652928
442,1290.63538029888
443,1706.2756638681599
444,1698.0329564351998
445,1382.60849614272
446,857.3824740096
447,298.34021625407996
448,5.38946255232
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
