,radiation_surface
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,66.81306494016
9,476.40131586431994
10,946.5511990334398
11,1533.8065719715198
12,1748.6170379092798
13,1773.9318282839997
14,1134.3049023398398
15,326.84456873375996
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,242.69607020735998
33,1395.57264450912
34,2558.28293316288
35,3075.3817782811198
36,3056.90844346272
37,2491.04842332192
38,1509.18014160144
39,383.52890789135995
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,218.21012147087998
57,1181.18362347216
58,2197.66657971168
59,2827.7548027343996
60,2548.08396656352
61,1991.4535897502396
62,1242.7848198057602
63,356.96383097759997
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,276.39761410799997
81,1255.84961173056
82,1998.8429236775996
83,2558.3812703063995
84,2578.8775406486398
85,2167.0556317502396
86,1650.75753194352
87,472.62235992047994
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,192.08053762128
105,986.29345317888
106,1937.4243534676796
107,2497.74939724464
108,2556.93430948032
109,2148.5120561150397
110,1315.87741376784
111,342.17111495951997
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,145.96041731039998
129,747.23585728176
130,1103.01964253712
131,1074.7406896934397
132,1355.3527528094398
133,1247.01331697712
134,837.62174034
135,219.58684148015996
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,90.79327979567998
153,543.0317546808
154,1023.02940036528
155,1298.6122209983998
156,1607.2503700175998
157,1398.97230004224
158,1078.91299421136
159,257.08138948799996
160,0.014048163359999997
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,147.14046303263999
177,751.61888425008
178,2107.30879298016
179,3209.3450640820797
180,3445.85994241104
181,2942.99188677648
182,1853.5568182084794
183,526.41277742592
184,0.08428898016
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,251.99595435167996
201,1518.9576633
202,2772.60171338304
203,3411.4981348324795
204,3392.9264628705596
205,2796.66621721872
206,1760.29106166144
207,511.64815773455996
208,0.19667428703999995
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,209.668838148
225,827.7458814979199
226,1209.32209468224
227,1225.8146384668798
228,1010.9058353855999
229,728.43941470608
230,487.471268592
231,147.56190793344
232,0.028096326719999995
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,172.90479463487998
249,717.20088401808
250,1240.46687285136
251,1671.2959467758396
252,1989.2058836126398
253,1866.6918509500797
254,1073.1391990703999
255,286.20323213328
256,0.42144490079999997
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,49.01404196303999
273,216.98793125855997
274,519.12178064208
275,1442.9430513590398
276,1563.6167746214398
277,975.7011380054399
278,507.68657566704
279,187.31821024224
280,0.43549306416
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,164.23707784176
297,604.0429281532801
298,1305.03223165392
299,2028.0631034664002
300,2316.23307847008
301,1666.37908959984
302,769.60053335088
303,212.49251898336
304,0.7445526580799999
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,175.22274158928
321,717.6223289188799
322,1225.29485642256
323,1796.70390109056
324,2482.1137914249593
325,2188.9567184284797
326,1109.6644238063998
327,338.50454432256
328,1.7138759299199997
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,112.63817382047998
345,531.3577309286399
346,980.2246466073601
347,1448.6325575198398
348,1767.4556249750399
349,1428.0098537073602
350,894.9803913388799
351,261.64704257999995
352,1.01146776192
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,225.71184070512
369,624.07560910464
370,1215.53138288736
371,1982.9263545907202
372,2405.0736635587195
373,1509.50324935872
374,1211.1062114289598
375,389.68200344303995
376,4.0599192110399995
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,539.5759064942399
393,2025.0146520172798
394,3208.2633555033594
395,3845.488045512959
396,3821.3111563703997
397,3296.8229773247995
398,2182.25574450576
399,780.024270564
400,8.822246590079999
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.04214449008
416,170.30588441327998
417,535.83909504048
418,880.5248312414399
419,1160.26590822912
420,1289.63544461136
421,1200.4577036020796
422,804.4680748104
423,340.8084431136
424,6.89764820976
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.028096326719999995
440,131.95439844047996
441,540.48903711264
442,1029.43536285744
443,1360.9579699900798
444,1354.3834295375998
445,1102.79487192336
446,683.8645923647999
447,237.96183915503997
448,4.29873798816
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
