,Output
584,455.6268763
585,1508.704077
586,2666.359329
587,3559.533017
588,4181.321002
589,3446.850108
590,1953.570659
591,752.2045978
592,33.87414492
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,6.97340952
608,481.442346
609,1395.513171
610,1892.21851
611,2197.478357
612,2447.736014
613,2042.446994
614,1229.375153
615,735.3252522
616,17.47970532
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,25.1689284
632,1332.544669
633,3142.790981
634,4135.301118
635,4768.588301
636,3888.899618
637,2974.667157
638,2361.03021
639,1297.700712
640,77.60804436
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,27.80127504
656,955.2647412
657,4297.675342
658,6445.808745
659,7660.913808
660,7707.049147
661,6712.922656
662,4763.531425
663,2156.145897
664,149.6281248
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,14.73190488
680,345.114499
681,846.5534431
682,1453.263162
683,2228.443066
684,2641.836942
685,2244.537326
686,1199.541891
687,335.0700184
688,15.3553554
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,29.83326192
704,837.8251358
705,2395.527805
706,4696.291132
707,5895.301936
708,4920.664047
709,4465.429713
710,3357.096324
711,1629.838204
712,144.5943391
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,54.9560088
728,1201.666241
729,2888.376987
730,4215.310601
731,4025.712371
732,3065.529298
733,1948.12124
734,1146.502416
735,512.6841443
736,44.03407932
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,39.92392404
752,885.3921014
753,2308.845092
754,3474.928472
755,4223.600184
756,4308.897451
757,3643.46793
758,2469.164239
759,1146.687142
760,107.1873079
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,70.98099624
776,1247.455218
777,3479.592806
778,5500.311395
779,6752.615673
780,7109.875912
781,6371.82595
782,4455.131234
783,1991.139326
784,207.6782954
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,156.1166284
800,2296.283719
801,4983.701822
802,6919.838957
803,6706.364881
804,6371.779768
805,5617.658637
806,4251.72473
807,2254.143082
808,261.1103141
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,9.9290268
824,135.0116737
825,329.2742376
826,858.491366
827,1749.563794
828,3538.451153
829,4702.664182
830,3615.505019
831,1580.81652
832,263.3732086
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,34.65923076
848,409.0297226
849,996.7588369
850,1446.890112
851,1735.039706
852,1801.725821
853,1766.581685
854,1090.645867
855,431.889575
856,51.35385024
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,92.940309
872,828.7735579
873,1766.581685
874,2693.236974
875,3607.00762
876,4210.346088
877,4825.137573
878,3367.394803
